REGIAO,UF,MUNICIPIO,REVENDA,CNPJ,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CEP,PRODUTO,DT_COLETA,VL_VENDA,VL_COMPRA,UN_MEDIDA,BANDEIRA
CO,GO,FORMOSA,ALDEMAR COMÉRCIO VAREJISTA DE GÁS LTDA, 06.230.088/0001-14,AVENIDA   D,13,QD. 23 LT. 13,JARDIM DAS OLIVEIRAS,73805-204,GLP,04/07/2021,80,,R$ / 13 kg,BRANCA
CO,GO,FORMOSA,PENTA GAS COMERCIO E TRANSPORTE LTDA - ME, 04.750.897/0001-21,AVENIDA CIRCULAR,50-A,,PRIMAVERA,73805-170,GLP,04/07/2021,85,,R$ / 13 kg,BRANCA
SE,RJ,NITEROI,BIG GAS NITEROI COM E TRANS DE GAS. GELO E BEBIDAS LTDA, 05.165.627/0001-16,RUA VEREADOR JOSÉ VICENTE SOBRINHO,257,,ENGENHOCA,24110-130,GLP,04/07/2021,78,,R$ / 13 kg,ULTRAGAZ
N,PA,BELEM,A R COSTA CUNHA, 06.140.558/0001-59,TRAVESSA CORONEL LUIS BENTES,S/N,,TELEGRAFO,66113-260,GLP,04/07/2021,96,,R$ / 13 kg,NACIONAL GÁS BUTANO
CO,MS,DOURADOS,J.O. GAS LTDA, 05.646.486/0001-53,RUA JOSE LUIZ DA SILVA,2840,,TERRA ROXA I,79840-490,GLP,04/07/2021,98,,R$ / 13 kg,BRANCA
CO,GO,FORMOSA,COMERCIAL A.F.S. DE ALIMENTOS LTDA, 02.720.669/0001-83,RUA 07,135,,JARDIM OLIVEIRA,73801-310,GLP,04/07/2021,80,,R$ / 13 kg,BRANCA
NE,PE,VITORIA DE SANTO ANTAO,H. ALVES - COMÉRCIO E REVENDA DE GÁS LTDA, 06.061.210/0001-76,RUA EURICO VOLOIS,1495,,LIVRAMENTO,55604-010,GLP,04/07/2021,75,,R$ / 13 kg,BAHIANA
N,PA,BELEM,NEOGAS COMERCIO LTDA, 05.304.751/0001-15,RUA ROSO DANIN,1095,,CANUDOS,66070-410,GLP,04/07/2021,98,,R$ / 13 kg,SUPERGASBRAS ENERGIA
N,PA,BELEM,BENTES & SOUZA LTDA - EPP, 06.256.935/0001-10,AVENIDA ALCINDO CACELA,99,B-5,UMARIZAL,66060-000,GLP,04/07/2021,100,,R$ / 13 kg,NACIONAL GÁS BUTANO
S,PR,UMUARAMA,ARACAJU GAS LTDA, 07.124.898/0001-59,AVENIDA ARACAJU,1789,,ZONA 7,87503-370,GLP,04/07/2021,99,,R$ / 13 kg,SUPERGASBRAS ENERGIA
N,PA,BELEM,JOSÉ BONIFÁCIO BARBOSA, 83.660.126/0001-10,PASSAGEM  F,6,,PEDREIRA,66080-230,GLP,04/07/2021,95,,R$ / 13 kg,NACIONAL GÁS BUTANO
NE,PE,JABOATAO DOS GUARARAPES,JANEIDE PEREIRA ROGÉRIO DE ARAÚJO, 07.170.937/0001-54,RODOVIA SETE - PE,LT. 01,A KM 18,BILHÕES,54080-035,GLP,04/07/2021,83,,R$ / 13 kg,BRANCA
N,PA,BELEM,M J A DA SILVA COMERCIO GAS ME, 07.024.240/0001-75,TRAVESSA BARÃO DO TRIUNFO,2329,MARQUES E VISCONDE,PEDREIRA,66087-270,GLP,04/07/2021,98,,R$ / 13 kg,NACIONAL GÁS BUTANO
NE,PE,JABOATAO DOS GUARARAPES,EZEQUIEL SEVERINO DA SILVA - ME., 06.175.091/0001-82,RUA DE TODOS OS SANTOS,85,LOT. URB. DUAS URNAS,SANTO ALEIXO,54120-000,GLP,04/07/2021,85,,R$ / 13 kg,BAHIANA
CO,MS,DOURADOS,ROBERTO SOARES DOS REIS, 06.885.860/0001-36,RUA MONTE ALEGRE,5.33,,JARDIM OURO VERDE,79833-120,GLP,04/07/2021,85,,R$ / 13 kg,BRANCA
N,TO,PALMAS,TOCANTINS COMERCIO DE GAS E AGUA MINERAL LTDA - ME, 07.423.829/0001-46,AVENIDA NS 10 QD ASR-SE 65 LOTES 13/14,S/N,S/C,CENTRO,77022-102,GLP,04/07/2021,95,,R$ / 13 kg,SUPERGASBRAS ENERGIA
N,PA,BELEM,NAZARE GAS E BEBIDAS LTDA, 05.343.813/0001-06,AVENIDA GOVERNADOR JOSE MALCHER,2109,,SAO BRAS,66060-230,GLP,04/07/2021,95,,R$ / 13 kg,SUPERGASBRAS ENERGIA
CO,MS,DOURADOS,ROSANGELA GOMES FERREIRA, 07.022.358/0001-64,RUA   NELY TODESQUINI,1305,,JARDIM SANTA MARIA,79833-310,GLP,04/07/2021,90,,R$ / 13 kg,BRANCA
N,PA,BELEM,LAR DO GAS LTDA - EPP, 83.371.930/0001-89,RUA DA OLARIA,127,,CANUDOS,66070-710,GLP,04/07/2021,97,,R$ / 13 kg,SUPERGASBRAS ENERGIA
CO,GO,FORMOSA,GLOBAL GAS DISTRIBUIDORA E IRELI, 07.485.504/0001-98,RUA PROFESSORA  ALTA VIDAL,623 A,,CENTRO,73801-480,GLP,04/07/2021,85,,R$ / 13 kg,BRANCA
S,RS,GUAIBA,DERLI LETSCH - ME, 03.893.407/0001-83,RUA ADAO FOQUES,2667,,VILA JARDIM,92500-000,GLP,04/07/2021,90,,R$ / 13 kg,LIQUIGÁS
SE,SP,MOCOCA,RAFAEL FRANZONI SORDI - ME., 07.629.968/0001-20,RUA PADRE MANOEL JOAQUIM DAS DORES,75,,SANTA CECÍLIA,13733-050,GLP,04/07/2021,90,,R$ / 13 kg,ULTRAGAZ
SE,SP,VOTORANTIM,M.D. BATISTA - VOTORANTIM - ME., 07.565.771/0001-75,RUA OCTAVIO AUGUSTO RANGEL,1435,,RIO ACIMA,18113-000,GLP,04/07/2021,95,,R$ / 13 kg,ULTRAGAZ
N,AP,MACAPA,J. C. DISTRIBUIDORA LTDA - EPP, 04.420.885/0002-10,RODOVIA DO CURIAU,281,A,JARDIM FELICIDADE I,68909-120,GLP,04/07/2021,106,,R$ / 13 kg,LIQUIGÁS
NE,PE,JABOATAO DOS GUARARAPES,LENIVALDO IDALINO DE OLIVEIRA GÁS - ME., 03.141.430/0001-11,AVENIDA EIXO DA INTEGRAÇÃO,3245,,MURIBECA,54360-000,GLP,04/07/2021,85,,R$ / 13 kg,NACIONAL GÁS BUTANO
NE,PE,IGARASSU,ANA ROSA M DE ALBUQUERQUE REVENDEDORA DE GÁS E ÁGUA, 07.391.398/0001-83,RUA LUCIANA PAIVA DE SOUZA,412,,CRUZ DO REBOUÇAS,53630-160,GLP,04/07/2021,83,,R$ / 13 kg,MINASGAS
SE,SP,SALTO,ESMAEL MARTINS CORDEIRO - ME, 05.498.709/0001-82,RUA RUSSIA,652,,JARDIM PLANALTO,13322-230,GLP,04/07/2021,80,,R$ / 13 kg,BRANCA
SE,SP,ASSIS,ROSE TERUMI TACITO SHIRASUNA - ME, 07.711.423/0001-69,RUA SENHOR DO BONFIM,448,,VILA PALHARES,19800-330,GLP,04/07/2021,82,,R$ / 13 kg,ULTRAGAZ
SE,SP,VOTORANTIM,ADRIANO SALIM DE OLIVEIRA, 08.304.817/0001-65,AVENIDA MATHEUS CONEGERO,216,,PARQUE BELA VISTA,18110-570,GLP,04/07/2021,92,,R$ / 13 kg,BRANCA
SE,SP,JUNDIAI,RAMOS & RAMOS DE JUNDIAI COMERCIO DE GAS LTDA, 04.788.637/0001-45,AVENIDA PROF. PEDRO CLARISMUNDO FORNARI,90,,VILA MARLENE,13214-660,GLP,04/07/2021,90,,R$ / 13 kg,ULTRAGAZ
SE,SP,JUNDIAI,RONILDO R. DA SILVA GAS -ME, 07.337.284/0001-55,RUA FAUSTINA BARBOSA STACKFLETH,40,,PARQUE CENTENARIO,13214-773,GLP,04/07/2021,93,,R$ / 13 kg,BRANCA
SE,SP,ASSIS,JOSE ROBERTO DA COSTA  GÁS -ME, 08.411.115/0001-80,AVENIDA MARECHAL  DEODORO,520,,CENTRO,19806-140,GLP,04/07/2021,90,,R$ / 13 kg,ULTRAGAZ
S,RS,GUAIBA,VERENICE BARBOSA DOS SANTOS, 07.839.230/0001-98,RUA TIO INICA,174,,BOM FIM NOVO,92500-000,GLP,04/07/2021,89,,R$ / 13 kg,LIQUIGÁS
CO,GO,FORMOSA,NOVO GÁS DISTRIBUIDORA DE GÁS LTDA - ME, 08.215.957/0001-67,AVENIDA PEDRO MONTEIRO GUIMARAES,60,,SETOR FERROVIARIO,73805-015,GLP,04/07/2021,85,,R$ / 13 kg,SUPERGASBRAS ENERGIA
N,TO,PALMAS,NN DISTRIBUIDORA DE GAS LTDA, 08.240.771/0001-68,QUADRA 112 SUL RUA SR 1 (ASR-SE 15 CONJUNTO 01),S/N,LOTE  27,PLANO DIRETOR SUL,77020-170,GLP,04/07/2021,95,,R$ / 13 kg,NACIONAL GÁS BUTANO
CO,MS,DOURADOS,EICHSTATT & EICHSTATT LTDA ME, 07.457.446/0001-99,EULALIA PIRES,914,,VILA ALMEIDA,79814-280,GLP,04/07/2021,90,,R$ / 13 kg,ULTRAGAZ
NE,BA,ILHEUS,GMS DISTRIBUIDORA DE GAS LIQUEFEITO EIRELI, 08.240.096/0001-77,AVENIDA UBAITABA,639,,ESPERANCA,45658-800,GLP,04/07/2021,98,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,SP,SALTO,DILMA OLIVEIRA ROCHA PAIVA, 03.507.296/0001-20,RUA PIRASUNUNGA,336,,JARDIM ELDORADO,13323-023,GLP,04/07/2021,80,,R$ / 13 kg,LIQUIGÁS
SE,ES,VITORIA,SIMÕES UTILIDADES EIRELI - ME, 03.930.433/0001-34,RUA MAURO MIRANDA MADUREIRA,296,,SOLON BORGES,29072-155,GLP,04/07/2021,98,,R$ / 13 kg,BRANCA
NE,SE,ARACAJU,SANTA LUZIA COMERCIO VAREJISTA DE AGUA E GAS EIRELI, 08.436.112/0001-00,RUA ARMANDO BARROS,107,,LUZIA,49045-080,GLP,04/07/2021,90,,R$ / 13 kg,BAHIANA
NE,SE,ARACAJU,BARÃO GAS LTDA - EPP, 05.918.657/0001-56,RUA 12 DE OUTUBRO,150,,18 DO FORTE,49072-210,GLP,04/07/2021,87,,R$ / 13 kg,BAHIANA
SE,RJ,SAO GONCALO,HENDY DE MOURA RODRIGUES VENDA DE GAS E REPRESENTAÇÃO, 07.795.931/0001-72,AVENIDA WASHINTON LUIZ,S/N,LT 336,GRADIM,24431-366,GLP,04/07/2021,77.99,,R$ / 13 kg,ULTRAGAZ
NE,PE,IGARASSU,D.S. DE MOURA GÁS - ME., 06.095.514/0001-54,TRAVESSA JACOB PINTO DE FREITAS,430,,CRUZ DE REBOUÇAS,53620-190,GLP,04/07/2021,87,,R$ / 13 kg,BRANCA
NE,BA,BRUMADO,BRUMAS COMERCIO DE GLP LTDA., 09.222.534/0001-37,RUA ALBERTINO MARQUES BARRETO,337,LOJA,OLHOS D`AGUA,46100-000,GLP,04/07/2021,80,,R$ / 13 kg,LIQUIGÁS
SE,RJ,NITEROI,USE GÁS COMÉRCIO E TRANSPORTE DE GÁS LTDA, 08.043.303/0001-01,ESTRADA CAETANO MONTEIRO,775,LOJA,BADU,24320-570,GLP,04/07/2021,72.99,,R$ / 13 kg,BRANCA
SE,ES,SERRA,J.F DE OLIVEIRA - CHAMA GAS, 09.410.262/0001-07,R RIO JUCU,195,,ELDORADO,29169-220,GLP,04/07/2021,85,,R$ / 13 kg,BRANCA
N,PA,BELEM,ALBINO F. SANTOS & CIA. LTDA., 05.093.000/0001-05,AVENIDA JOSÉ BONIFÁCIO,1962,A,GUAMA,66063-010,GLP,04/07/2021,95,,R$ / 13 kg,NACIONAL GÁS BUTANO
NE,PE,VITORIA DE SANTO ANTAO,GOLDEN COMERCIO VAREJISTA DE GAS LTDA, 09.266.896/0001-20,AVENIDA HENRIQUE DE HOLANDA,443,,MATRIZ,55602-000,GLP,04/07/2021,78,,R$ / 13 kg,MINASGAS
NE,SE,ARACAJU,BR GAZ COMÉRCIO DE GÁS E SERVIÇOS LTDA, 09.507.611/0001-03,RUA AMAZONAS,419,,SIQUEIRA CAMPOS,49075-070,GLP,04/07/2021,75,,R$ / 13 kg,LIQUIGÁS
SE,MG,MANHUACU,PAULO HENRIQUE D'AVILA, 10.249.911/0001-00,RODOVIA BR 262,37,"KM: 35,",POUSO ALEGRE,36900-000,GLP,04/07/2021,85,,R$ / 13 kg,NGC DISTRIBUIDORA
SE,MG,POCOS DE CALDAS,ALVORADA GÁS LTDA - ME, 08.845.926/0001-90,RUA CORONEL VIRGILIO SILVA,3834,1,VILA NOVA,37701-103,GLP,04/07/2021,95,,R$ / 13 kg,BRANCA
NE,PE,GARANHUNS,ROCHA & ASSIS LTDA, 09.235.187/0001-87,AVENIDA  DEOLINDA SILVESTRE VALENCA,206,,FRANCISCO SIMAO DOS SANTOS FIGUEIRA,55291-625,GLP,04/07/2021,94.99,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,SP,SOROCABA,THIAGO NOBREGA FRANHAN & CIA LTDA. ME, 09.038.618/0001-15,RUA CORONEL NOGUEIRA PADILHA,1580,,VILA HORTENCIA,18020-002,GLP,04/07/2021,89.9,,R$ / 13 kg,ULTRAGAZ
SE,ES,VITORIA,MZ DISTRIBUIDORA DE GAS LTDA, 09.596.581/0001-40,RUA PROFESSORA PLACIDA REBELLO FRAGA,10,,MARIA ORTIZ,29070-540,GLP,04/07/2021,95,,R$ / 13 kg,SUPERGASBRAS ENERGIA
NE,PE,JABOATAO DOS GUARARAPES,VANDELMA BERTO DA CRUZ E SILVA ME, 05.051.470/0001-06,RUA GIRASSOL,155,LOTEAMENTO JARDIM MURIBECA,MURIBECA,54360-300,GLP,04/07/2021,80,,R$ / 13 kg,MINASGAS
CO,MS,DOURADOS,KUSHIDA & CIA. LTDA, 09.065.531/0001-37,RUA MONTE ALEGRE,5.525,,JARDIM GUANABARA,79833-120,GLP,04/07/2021,92,,R$ / 13 kg,BRANCA
N,RO,PORTO VELHO,R. M. DA SILVA BAR, 09.324.076/0001-47,RUA PRUDENTE DE MORAIS,1624,FUNDOS,AREAL,78916-040,GLP,04/07/2021,101,,R$ / 13 kg,FOGAS
S,PR,TAPEJARA,COMERCIO DE GAS TAPEJARA LTDA, 10.651.813/0001-03,RUA RUI BARBOSA,753,,CENTRO,87430-000,GLP,04/07/2021,99,,R$ / 13 kg,ULTRAGAZ
SE,RJ,NITEROI,CELSO JARDIM TEIXEIRA REVENDEDORA DE GÁS ME, 06.974.378/0001-72,RUA DOM  ANTONIO ALMEIDA MORAES JUNIOR,271,,ENGENHOCA,24110-637,GLP,04/07/2021,77.99,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,MG,CONSELHEIRO LAFAIETE,VICENTE DE PAULO REZENDE & FILHO LTDA, 07.274.924/0001-25,RUA DUQUE DE CAXIAS,1203,,CHAPADA,36400-001,GLP,04/07/2021,85,,R$ / 13 kg,ULTRAGAZ
CO,MS,DOURADOS,DOURADOS DISTRIBUIDORA DE GLP LTDA ME, 10.328.923/0001-20,RUA RAUL FROST,2662,,CONJUNTO HABITACIONAL IZIDRO PEDROSO,79840-280,GLP,04/07/2021,90,,R$ / 13 kg,BRANCA
NE,PE,JABOATAO DOS GUARARAPES,A P DE SANTANA, 11.084.111/0001-40,RUA FLOR-DE-LARANJEIRA,45,COM JARDIM MURIBECA,MURIBECA,54352-215,GLP,04/07/2021,80,,R$ / 13 kg,BRANCA
NE,PE,VITORIA DE SANTO ANTAO,J M & VINÍCIUS REPRESENTAÇÕES DA GÁS LTDA ME, 10.272.347/0001-47,RUA   QUEIROZ PEDROSO,60,TÉRREO,BELA VISTA,55608-470,GLP,04/07/2021,80,,R$ / 13 kg,LIQUIGÁS
SE,RJ,NITEROI,LCM REVENDEDORA DE GÁS LTDA, 11.024.972/0001-32,AVENIDA RUI BARBOSA,S/N,LOTE 51 QD. E,SAO FRANCISCO,24360-440,GLP,04/07/2021,73.39,,R$ / 13 kg,BRANCA
NE,PB,BAYEUX,MARCIO LAURENTINO BRAS, 08.173.177/0001-00,RUA FRANCISCO MARQUES DA FONSECA,116,,CENTRO,58307-000,GLP,04/07/2021,90,,R$ / 13 kg,BRANCA
NE,PE,JABOATAO DOS GUARARAPES,S.R.B. DO NASCIMENTO COMÉRCIO DE GÁS E ÁGUA, 10.993.060/0001-06,RUA RIO CACHOEIRINHA,38,QUADRA 25,MARCOS FREIRE,54360-062,GLP,04/07/2021,80,,R$ / 13 kg,BAHIANA
SE,RJ,NITEROI,JETT COMÉRCIO DE GÁS E REPRESENTAÇÕES LTDA., 05.688.639/0002-06,RUA LEONOR DA GLÓRIA,12,,SAPE,24315-140,GLP,04/07/2021,77,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,RJ,SAO GONCALO,GRADIM COMERCIO DE GAS LTDA., 74.100.009/0001-00,RUA MAUA,652,,PORTO VELHO,24430-370,GLP,04/07/2021,76.99,,R$ / 13 kg,ULTRAGAZ
SE,MG,CONSELHEIRO LAFAIETE,DEPÓSITO DE GÁS SANTA TEREZINHA LTDA. - ME, 07.012.848/0001-80,RUA LOPES FRANCO,260,,CARIJÓS,36400-000,GLP,04/07/2021,85,,R$ / 13 kg,BRANCA
SE,RJ,NOVA FRIBURGO,JILMARA COMERCIO DE GAS LTDA., 11.122.602/0001-38,AVENIDA GOVERNADOR  ROBERTO SILVEIRA,1188,,PRADO,28635-000,GLP,04/07/2021,97,,R$ / 13 kg,BRANCA
N,TO,GURUPI,TRINDADE FERNANDES DA SILVA - ME, 10.952.343/0001-00,RUA 7-E,172,QD06 LT 04,TREVO OESTE,77433-140,GLP,04/07/2021,110,,R$ / 13 kg,LIQUIGÁS
CO,MS,DOURADOS,RODRIGUES E MONTEIRO LTDA - ME, 11.084.301/0001-67,RUA CUIABA,1070,,CENTRO,79802-030,GLP,04/07/2021,95,,R$ / 13 kg,COPAGAZ
NE,PE,JABOATAO DOS GUARARAPES,MIRIAM SOARES SILVA DE MEDEIROS ME., 11.078.423/0001-40,RUA PALMEIRINA,133,,MARCOS FREIRE,54368-230,GLP,04/07/2021,85,,R$ / 13 kg,BAHIANA
SE,SP,VOTORANTIM,LIDERGAS DE VOTORANTIM COMERCIO DE GAS LTDA, 10.850.076/0001-60,AVENIDA LUIZ DO PATROCINIO FERNANDES,189,,DOMINGUINHOS,18110-005,GLP,04/07/2021,88,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,ES,SERRA,FLASH GÁS RAFALSKY LTDA., 11.068.615/0001-76,RUA   CRISÁLIDA,2,FUNDOS,SERRA DOURADA II,29171-238,GLP,04/07/2021,85,,R$ / 13 kg,BRANCA
N,PA,BELEM,KA SOUZA E CIA LTDA, 10.889.169/0001-06,TRAVESSA MARIZ E BARROS,3529,A,MARCO,66095-760,GLP,04/07/2021,90,,R$ / 13 kg,LIQUIGÁS
SE,MG,CONSELHEIRO LAFAIETE,DOUGLAS GÁS LTDA, 11.757.097/0001-06,RUA MARIA JOSÉ DE SOUZA,521,,VILA RESENDE,36400-000,GLP,04/07/2021,95,,R$ / 13 kg,BRANCA
CO,MS,DOURADOS,G R GÁS LTDA - ME, 11.337.539/0001-57,RUA MARIO FEITOSA RODRIGUES,1360,,ALTOS DO INDAIA,79823-508,GLP,04/07/2021,92,,R$ / 13 kg,ULTRAGAZ
NE,PE,IGARASSU,OSVALDO JUVÊNCIO DA SILVA MERCADINHO ME, 07.301.751/0001-97,RUA ARGEMIRA PAES BARRETO,1638,LOJA,CENTRO,53610-290,GLP,04/07/2021,87,,R$ / 13 kg,NACIONAL GÁS BUTANO
CO,MS,DOURADOS,LEITE & MARTINS LTDA - ME, 11.805.854/0001-61,RUA CUIABA,1072,,CENTRO,79802-030,GLP,04/07/2021,88,,R$ / 13 kg,BRANCA
NE,PE,IGARASSU,GINALDO JOSÉ DOS SANTOS GÁS ME, 11.536.395/0001-68,RUA  SEBASTIANA HENRIQUE DUARTE,72,LOT.TABATINGA,CENTRO,53610-660,GLP,04/07/2021,87,,R$ / 13 kg,NACIONAL GÁS BUTANO
NE,PE,JABOATAO DOS GUARARAPES,OROBO REVENDEDORA DE GLP LTDA, 11.410.114/0002-07,RUA MACHADOS,22,,MARCOS FREIRE,54368-220,GLP,04/07/2021,82,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,RJ,NOVA FRIBURGO,CHAMA AZUL DE FRIBURGO COMERCIO DE GAS LTDA., 11.617.337/0001-69,RUA DA CONCORDIA,S/N,LOTES 14 / 15 / 16,PRADO,28635-000,GLP,04/07/2021,98.1,,R$ / 13 kg,ULTRAGAZ
NE,PE,JABOATAO DOS GUARARAPES,EDSON FREITAS DOS SANTOS, 11.933.628/0001-66,RUA VENTUROSA (LOT. ENGENHO GUARARAPES),44,"LOTE: 17 QUADRA 317,",MARCOS FREIRE,54368-180,GLP,04/07/2021,78,,R$ / 13 kg,NACIONAL GÁS BUTANO
N,PA,BELEM,A B DA LUZ E CARVALHO COMERCIO VAREJISTA DE GAS LTDA, 12.550.090/0001-73,RUA NOVA,1554,B,PEDREIRA,66083-444,GLP,04/07/2021,96,,R$ / 13 kg,NACIONAL GÁS BUTANO
SE,RJ,SAO GONCALO,PORTO DO GALAO GAS LTDA, 12.395.772/0001-59,RUA COMANDANTEARI PARREIRAS,1056,LOTE 1070,PORTO VELHO,24426-470,GLP,04/07/2021,77,,R$ / 13 kg,ULTRAGAZ
N,AP,MACAPA,BEIJA FLOR GAS LTDA - EPP, 11.867.779/0001-63,RUA   GUILHERME COELHO,2469,,JARDIM FELICIDADE,68909-080,GLP,04/07/2021,98,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,MG,CONSELHEIRO LAFAIETE,ANA CAROLINA PEREIRA DOS SANTOS, 12.647.519/0001-45,AV. DONA MANINHA JUNQUEIRA,434,,PAULO VI,36400-000,GLP,04/07/2021,83,,R$ / 13 kg,BRANCA
N,AP,MACAPA,J. C. DISTRIBUIDORA LTDA - EPP, 04.420.885/0008-05,AV SEBASTIÃO QUEIROZ DE ALCANTARA,2802,LETRA B,JARDIM FELICIDADE II,68900-000,GLP,04/07/2021,106,,R$ / 13 kg,LIQUIGÁS
N,PA,BELEM,T G PINA COMERCIO DE GLP LTDA., 13.141.038/0001-26,AVENIDA GENERALISSIMO DEODORO,1924,,CREMACAO,66040-255,GLP,04/07/2021,94,,R$ / 13 kg,BAHIANA
N,TO,PALMAS,M. F. DE SOUZA, 08.582.883/0001-05,405 NORTE AVENIDA LO 10 LT,23,,PLANO DIRETOR NORTE,77002-000,GLP,04/07/2021,105,,R$ / 13 kg,BRANCA
SE,SP,VARZEA PAULISTA,DISTRIBUIDORA DE GÁS BURITI LTDA. ME., 12.645.725/0001-16,RUA DOM  PEDRO I,327,,JARDIM BURITI,13225-790,GLP,04/07/2021,90,,R$ / 13 kg,COPAGAZ
N,TO,PALMAS,LUCIEL SILVA LIMA - ME, 08.226.627/0001-77,112 SUL. RUA  SR 7,S/N,LOTE  01,PLANO DIRETOR SUL,77020-176,GLP,04/07/2021,95,,R$ / 13 kg,LIQUIGÁS
S,RS,GUAIBA,MARCIO SOUZA DIAS, 07.966.473/0001-97,RUA NOEL GUARANY,431,,JARDIM DOS LAGOS,92500-000,GLP,04/07/2021,95,,R$ / 13 kg,LIQUIGÁS
N,PA,BELEM,C. M. RODRIGUES COMERCIO, 13.626.671/0001-04,RUA NOVA,413,,PEDREIRA,66083-441,GLP,04/07/2021,95,,R$ / 13 kg,SUPERGASBRAS ENERGIA
NE,BA,ILHEUS,FERNANDES MOREIRA COMERCIO DE GAS LTDA - ME, 12.997.269/0001-73,RUA   URUGUAIANA,530,A,MALHADO,45651-350,GLP,04/07/2021,90,,R$ / 13 kg,BAHIANA
SE,ES,SERRA,SILVEIRA GAS EIRELI, 11.426.946/0002-11,RUA CACIPORE,2,FUNDOS,SERRA DOURADA II,29171-262,GLP,04/07/2021,85,,R$ / 13 kg,LIQUIGÁS
NE,PE,JABOATAO DOS GUARARAPES,DIEGO RODRIGO VIANA DE LIRA EIRELI, 07.205.068/0002-37,RUA BARAO DE MORENO,147,A,VILA RICA,54100-680,GLP,04/07/2021,82,,R$ / 13 kg,NACIONAL GÁS BUTANO
N,PA,BELEM,SSZ COMERCIO DE BEBIDAS E GLP LTDA - ME, 13.559.600/0001-36,RUA CURUCA,360,,TELEGRAFO SEM FIO,66050-080,GLP,04/07/2021,93,,R$ / 13 kg,BAHIANA
SE,ES,SERRA,C R CUNHA JUNIOR DISTRIBUIDORA DE GÁS E BEBIDAS ME, 13.473.077/0001-20,AVENIDA MURIAE,614,LOJA B,NOVA CARAPINA II,29170-162,GLP,04/07/2021,85,,R$ / 13 kg,SUPERGASBRAS ENERGIA
N,PA,BELEM,PAI HEROI COMERCIO DE GAS LTDA - ME, 13.859.290/0001-75,TRAVESSA MAURITI,3642,FUNDOS 3642,MARCO,66095-210,GLP,04/07/2021,90,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,ES,SERRA,A.N. DE JESUS ME, 11.341.075/0001-52,RUA   MADRI,34,,PARQUE RESIDENCIAL DE TUBARAO,29171-715,GLP,04/07/2021,90,,R$ / 13 kg,SUPERGASBRAS ENERGIA
SE,ES,SERRA,J.Q. BASTOS COMERCIO DE GAS - ME, 13.925.603/0001-46,RUA   TIE,21,,SERRA DOURADA III,29171-458,GLP,04/07/2021,90,,R$ / 13 kg,SUPERGASBRAS ENERGIA
NE,PE,IGARASSU,B & C GAS LTDA, 13.344.533/0001-32,RUA   MANOEL ROSENDO DE LIMA,9,,TABATINGA,53605-500,GLP,04/07/2021,82,,R$ / 13 kg,NACIONAL GÁS BUTANO
CO,MS,DOURADOS,DAIANE LAZZARETTI SOUZA, 06.272.573/0001-50,RUA MONTE ALEGRE,3515,,JARDIM PAULISTA,79830-070,GLP,04/07/2021,95,,R$ / 13 kg,ULTRAGAZ
NE,PE,IGARASSU,RONALDO JOSÉ RODRIGUES, 12.578.488/0001-18,RUA SEVERINO PEREIRA DA SILVA,100,,UMBURA,53625-450,GLP,04/07/2021,87,,R$ / 13 kg,NACIONAL GÁS BUTANO
N,TO,PALMAS,A. E. FORTALEZA DE LIMA, 13.849.110/0001-74,QUADRA 307 NORTE AVENIDA LO 10,S/N,LOTE  36                        ACSV NO 33,PLANO DIRETOR NORTE,77001-388,GLP,04/07/2021,100,,R$ / 13 kg,LIQUIGÁS
N,PA,BELEM,M&M COMERCIO DE GAS LTDA, 14.223.609/0001-34,RUA OLIVEIRA BELO,862,,UMARIZAL,66050-380,GLP,04/07/2021,95,,R$ / 13 kg,BAHIANA
NE,BA,BRUMADO,COMERCIO DE GAS E TRANSPORTES LP JN LTDA, 13.534.518/0001-57,R: FREI CANECA,77,,DAS FLORES,46100-000,GLP,04/07/2021,92,,R$ / 13 kg,BAHIANA
SE,MG,CONSELHEIRO LAFAIETE,GAS E AGUA RENIANE LTDA, 14.318.774/0001-70,RUA DOUTOR MARIO RODRIGUES,84,,CACHOEIRA,36408-089,GLP,04/07/2021,88,,R$ / 13 kg,BRANCA
S,PR,PONTA GROSSA,RODRIGO DOS SANTOS MERCER GÁS, 11.294.045/0001-32,RUA PADRE  FRANCISCO BIERMANN,5,,CARA-CARA,84033-060,GLP,04/07/2021,90,,R$ / 13 kg,COPAGAZ
NE,PE,VITORIA DE SANTO ANTAO,JOSE RICARDO DOS SANTOS ME, 09.409.308/0001-60,AVENIDA SAO  JOSE,250,A,ALTO JOSE LEAL,55608-080,GLP,04/07/2021,80,,R$ / 13 kg,LIQUIGÁS
SE,SP,SALTO,SALTO CARMO COMERCIO DE GAS LTDA., 66.871.815/0001-54,RUA FLORIANO PEIXOTO,1210,,CENTRO,13320-150,GLP,04/07/2021,88,,R$ / 13 kg,BRANCA
